Company Name,BSE Code,NSE Symbol,Latest Market Cap,Industry
Reliance Industries Ltd.,500325,RELIANCE," ? 20,68,303.00 ",Refineries
HDFC Bank Ltd.,500180,HDFCBANK," ? 15,42,858.00 ",Bank - Private
Tata Consultancy Services Ltd.,532540,TCS," ? 12,40,896.00 ",IT - Software
Bharti Airtel Ltd.,532454,BHARTIARTL," ? 12,10,843.00 ",Telecommunication - Service  Provider
ICICI Bank Ltd.,532174,ICICIBANK," ? 10,21,338.00 ",Bank - Private
State Bank Of India,500112,SBIN," ? 7,32,086.60 ",Bank - Public
Infosys Ltd.,500209,INFY," ? 6,65,957.00 ",IT - Software
Life Insurance Corporation of India,543526,LICI," ? 6,14,125.70 ",Insurance
Bajaj Finance Ltd.,500034,BAJFINANCE," ? 5,81,841.30 ",Finance - NBFC
Hindustan Unilever Ltd.,500696,HINDUNILVR," ? 5,39,348.70 ",Household & Personal Products
ITC Ltd.,500875,ITC," ? 5,19,603.20 ",Cigarettes/Tobacco
Larsen & Toubro Ltd.,500510,LT," ? 5,04,303.10 ",Engineering - Construction
HCL Technologies Ltd.,532281,HCLTECH," ? 4,65,472.20 ",IT - Software
Kotak Mahindra Bank Ltd.,500247,KOTAKBANK," ? 4,34,169.60 ",Bank - Private
Sun Pharmaceutical Industries Ltd.,524715,SUNPHARMA," ? 4,00,017.10 ",Pharmaceuticals & Drugs
Maruti Suzuki India Ltd.,532500,MARUTI," ? 3,91,179.70 ",Automobiles - Passenger Cars
Mahindra & Mahindra Ltd.,500520,M&M," ? 3,80,975.10 ",Automobiles - Passenger Cars
Axis Bank Ltd.,532215,AXISBANK," ? 3,63,862.50 ",Bank - Private
Ultratech Cement Ltd.,532538,ULTRACEMCO," ? 3,59,137.40 ",Cement & Construction Materials
Hindustan Aeronautics Ltd.,541154,HAL," ? 3,28,515.70 ",Defence
Titan Company Ltd.,500114,TITAN," ? 3,28,251.10 ",Diamond  &  Jewellery
Bajaj Finserv Ltd.,532978,BAJAJFINSV," ? 3,27,815.20 ",Finance - Investment
NTPC Ltd.,532555,NTPC," ? 3,22,511.10 ",Power Generation/Distribution
Bharat Electronics Ltd.,500049,BEL," ? 3,15,965.20 ",Defence
Adani Ports and Special Economic Zone Ltd.,532921,ADANIPORTS," ? 3,12,572.10 ",Port
Oil & Natural Gas Corporation Ltd.,500312,ONGC," ? 3,06,166.30 ",Oil Exploration
Adani Enterprises Ltd.,512599,ADANIENT," ? 3,02,603.10 ",Trading
Avenue Supermarts Ltd.,540376,DMART," ? 2,89,732.40 ",Retailing
Wipro Ltd.,507685,WIPRO," ? 2,76,994.80 ",IT - Software
Power Grid Corporation Of India Ltd.,532898,POWERGRID," ? 2,76,739.50 ",Power Generation/Distribution
Tata Motors Ltd.,500570,TATAMOTORS," ? 2,51,738.40 ",Automobiles-Trucks/Lcv
JSW Steel Ltd.,500228,JSWSTEEL," ? 2,51,271.80 ",Steel & Iron Products
Coal India Ltd.,533278,COALINDIA," ? 2,40,192.30 ",Mining & Minerals
Eternal Ltd.,543320,ETERNAL," ? 2,36,802.30 ",e-Commerce
Bajaj Auto Ltd.,532977,BAJAJ-AUTO," ? 2,34,448.30 ",Automobile Two & Three Wheelers
Nestle India Ltd.,500790,NESTLEIND," ? 2,32,371.50 ",Consumer Food
Interglobe Aviation Ltd.,539448,INDIGO," ? 2,30,553.40 ",Airlines
Adani Power Ltd.,533096,ADANIPOWER," ? 2,28,099.40 ",Power Generation/Distribution
Asian Paints Ltd.,500820,ASIANPAINT," ? 2,27,174.20 ",Paints
Trent Ltd.,500251,TRENT," ? 2,18,411.50 ",Retailing
